column_name,kind
kan/spline_reg_weight,config
meta.class_def_str,config
meta.dataset_name,config
meta.datatreatment,config
meta.datatreatment_feature_set_version,config
meta.datatreatment_globals_included,config
meta.datatreatment_id_embed_dim,config
meta.datatreatment_met_rep,config
meta.datatreatment_normalization,config
meta.datatreatment_pid_encoding,config
meta.datatreatment_token_order,config
meta.datatreatment_tokenization,config
meta.feature_mode,config
meta.goal,config
meta.level,config
meta.meta_confidence,config
meta.meta_hash,config
meta.model_family,config
meta.n_classes,config
meta.needs_review,config
meta.process_groups,config
meta.process_groups_key,config
meta.row_key,config
meta.schema_version,config
mia/enabled,config
mia/num_blocks,config
mia/placement,config
model/activation,config
model/bdt_lr,config
model/causal_attention,config
model/colsample_bytree,config
model/depth,config
model/dim,config
model/dropout,config
model/heads,config
model/hidden_sizes,config
model/loop,config
model/max_depth,config
model/mlp_dim,config
model/n_estimators,config
model/n_layers,config
model/params_est,config
model/size_key,config
model/size_label,config
model/subsample,config
model/type,config
model/use_batch_norm,config
moe/enabled,config
moe/lb_weight,config
moe/noisy_gating,config
moe/num_experts,config
moe/routing_level,config
moe/scope,config
moe/top_k,config
nodewise_mass/enabled,config
nodewise_mass/k_values,config
norm/policy,config
norm/type,config
pid/schedule_mode,config
pid/transition_epoch,config
pooling/type,config
pos_enc/dim_mask,config
pos_enc/rotary_base,config
pos_enc/space,config
pos_enc/type,config
raw/classifier/globals/include_met,config
raw/classifier/model/attention/diff_bias_mode,config
raw/classifier/model/attention/norm,config
raw/classifier/model/attention/type,config
raw/classifier/model/attention_biases,config
raw/classifier/model/attn_pairwise/enabled,config
raw/classifier/model/attn_pairwise/features,config
raw/classifier/model/attn_pairwise/hidden_dim,config
raw/classifier/model/attn_pairwise/per_head,config
raw/classifier/model/attn_pairwise/per_layer,config
raw/classifier/model/bias_config/global_conditioned/global_dim,config
raw/classifier/model/bias_config/global_conditioned/mlp_type,config
raw/classifier/model/bias_config/global_conditioned/mode,config
raw/classifier/model/bias_config/lorentz_scalar/features,config
raw/classifier/model/bias_config/lorentz_scalar/hidden_dim,config
raw/classifier/model/bias_config/lorentz_scalar/mlp_type,config
raw/classifier/model/bias_config/lorentz_scalar/per_head,config
raw/classifier/model/bias_config/lorentz_scalar/sparse_gating,config
raw/classifier/model/bias_config/sm_interaction/mask_value,config
raw/classifier/model/bias_config/sm_interaction/mode,config
raw/classifier/model/bias_config/typepair_kinematic/freeze_table,config
raw/classifier/model/bias_config/typepair_kinematic/init_from_physics,config
raw/classifier/model/bias_config/typepair_kinematic/kinematic_feature,config
raw/classifier/model/bias_config/typepair_kinematic/kinematic_gate,config
raw/classifier/model/bias_config/typepair_kinematic/mask_value,config
raw/classifier/model/causal_attention,config
raw/classifier/model/depth,config
raw/classifier/model/dim,config
raw/classifier/model/dropout,config
raw/classifier/model/ffn/kan/variant,config
raw/classifier/model/ffn/type,config
raw/classifier/model/head/pooling,config
raw/classifier/model/head/type,config
raw/classifier/model/heads,config
raw/classifier/model/hidden_sizes,config
raw/classifier/model/kan/grid_range,config
raw/classifier/model/kan/grid_size,config
raw/classifier/model/kan/grid_update_freq,config
raw/classifier/model/kan/spline_order,config
raw/classifier/model/kan/spline_regularization_weight,config
raw/classifier/model/mia_blocks/dropout,config
raw/classifier/model/mia_blocks/enabled,config
raw/classifier/model/mia_blocks/interaction_dim,config
raw/classifier/model/mia_blocks/num_blocks,config
raw/classifier/model/mia_blocks/placement,config
raw/classifier/model/mia_blocks/reduction_dim,config
raw/classifier/model/mlp_dim,config
raw/classifier/model/moe/enabled,config
raw/classifier/model/moe/load_balance_loss_weight,config
raw/classifier/model/moe/noisy_gating,config
raw/classifier/model/moe/num_experts,config
raw/classifier/model/moe/routing_level,config
raw/classifier/model/moe/scope,config
raw/classifier/model/moe/top_k,config
raw/classifier/model/nodewise_mass/enabled,config
raw/classifier/model/nodewise_mass/hidden_dim,config
raw/classifier/model/nodewise_mass/k_values,config
raw/classifier/model/norm/policy,config
raw/classifier/model/norm/type,config
raw/classifier/model/pooling,config
raw/classifier/model/positional,config
raw/classifier/model/positional_space,config
raw/classifier/model/rotary/base,config
raw/classifier/model/shared_backbone/enabled,config
raw/classifier/model/shared_backbone/features,config
raw/classifier/model/tokenizer/id_embed_dim,config
raw/classifier/model/tokenizer/name,config
raw/classifier/model/tokenizer/pid_mode,config
raw/classifier/selected_labels,config
raw/classifier/trainer/batch_size,config
raw/classifier/trainer/early_stopping/enabled,config
raw/classifier/trainer/early_stopping/min_delta,config
raw/classifier/trainer/early_stopping/patience,config
raw/classifier/trainer/early_stopping/restore_best_weights,config
raw/classifier/trainer/epochs,config
raw/classifier/trainer/grad_clip,config
raw/classifier/trainer/interpretability/checkpoint_epochs,config
raw/classifier/trainer/interpretability/enabled,config
raw/classifier/trainer/interpretability/save_attention_maps,config
raw/classifier/trainer/interpretability/save_differential_lambda,config
raw/classifier/trainer/interpretability/save_gradient_norms,config
raw/classifier/trainer/interpretability/save_kan_splines,config
raw/classifier/trainer/interpretability/save_moe_routing,config
raw/classifier/trainer/label_smoothing,config
raw/classifier/trainer/log_pid_embeddings,config
raw/classifier/trainer/lr,config
raw/classifier/trainer/lr_schedule,config
raw/classifier/trainer/metrics,config
raw/classifier/trainer/pid_schedule/mode,config
raw/classifier/trainer/pid_schedule/reinit_mode,config
raw/classifier/trainer/pid_schedule/transition_epoch,config
raw/classifier/trainer/seed,config
raw/classifier/trainer/warmup_steps,config
raw/classifier/trainer/weight_decay,config
raw/cont_features,config
raw/data/_struct_,config
raw/data/classifier/selected_labels,config
raw/data/classifier/signal_vs_background/background,config
raw/data/classifier/signal_vs_background/signal,config
raw/data/cont_features,config
raw/data/datasets/x_test,config
raw/data/datasets/x_train,config
raw/data/datasets/x_val,config
raw/data/datasets/y_test,config
raw/data/datasets/y_train,config
raw/data/datasets/y_val,config
raw/data/globals/present,config
raw/data/globals/size,config
raw/data/limit_samples,config
raw/data/n_tokens,config
raw/data/norm,config
raw/data/num_workers,config
raw/data/path,config
raw/data/seed,config
raw/data/shuffle_tokens,config
raw/data/use_binned_tokens,config
raw/datasets/x_test,config
raw/datasets/x_train,config
raw/datasets/x_val,config
raw/datasets/y_test,config
raw/datasets/y_train,config
raw/datasets/y_val,config
raw/env/data_root,config
raw/env/output_root,config
raw/env/vq_checkpoint_path,config
raw/env/vq_checkpoint_path_4vec,config
raw/env/vq_checkpoint_path_5vec,config
raw/env/wandb_project,config
raw/experiment/name,config
raw/general/trainer/batch_size,config
raw/general/trainer/device,config
raw/general/trainer/epochs,config
raw/general/trainer/lr,config
raw/general/trainer/num_workers,config
raw/general/trainer/weight_decay,config
raw/globals/present,config
raw/globals/size,config
raw/limit_samples,config
raw/logging/destinations,config
raw/logging/dpi,config
raw/logging/dry_run,config
raw/logging/enable_tags,config
raw/logging/families/adversarial,config
raw/logging/families/codebook,config
raw/logging/families/diffusion,config
raw/logging/families/latency/enabled,config
raw/logging/families/latency/mode,config
raw/logging/families/losses,config
raw/logging/families/metrics,config
raw/logging/families/recon/enabled,config
raw/logging/families/recon/mode,config
raw/logging/fig_format,config
raw/logging/figures_subdir,config
raw/logging/file_naming,config
raw/logging/make_plots,config
raw/logging/moments/on_epoch_end_quick,config
raw/logging/moments/on_test_end,config
raw/logging/moments/on_train_end_full,config
raw/logging/moments/on_validation_end,config
raw/logging/output_root,config
raw/logging/save_artifacts,config
raw/logging/show_plots,config
raw/logging/tags/core,config
raw/logging/tags/diagnostics,config
raw/logging/tags/heavy,config
raw/logging/use_wandb,config
raw/logging/wandb/dir,config
raw/logging/wandb/entity,config
raw/logging/wandb/group,config
raw/logging/wandb/log_artifacts,config
raw/logging/wandb/log_freq,config
raw/logging/wandb/mode,config
raw/logging/wandb/project,config
raw/logging/wandb/run_name,config
raw/logging/wandb/tags,config
raw/logging/wandb/watch_model,config
raw/loop,config
raw/meta/goal,config
raw/meta/has_globals,config
raw/meta/level,config
raw/meta/n_classes,config
raw/meta/n_tokens,config
raw/meta/num_types,config
raw/meta/schema_version,config
raw/meta/token_feat_dim,config
raw/meta/vocab_size,config
raw/n_tokens,config
raw/norm,config
raw/num_workers,config
raw/path,config
raw/phase1/decoder/_target_,config
raw/phase1/decoder/activation,config
raw/phase1/decoder/dec_hidden,config
raw/phase1/decoder/dropout,config
raw/phase1/decoder/globals_beta,config
raw/phase1/decoder/globals_head,config
raw/phase1/decoder/globals_hidden,config
raw/phase1/encoder/_target_,config
raw/phase1/encoder/activation,config
raw/phase1/encoder/dropout,config
raw/phase1/encoder/enc_hidden,config
raw/phase1/encoder/id_embed_dim,config
raw/phase1/latent_space/_target_,config
raw/phase1/latent_space/latent_dim,config
raw/phase1/trainer/batch_size,config
raw/phase1/trainer/epochs,config
raw/phase1/trainer/grad_clip,config
raw/phase1/trainer/lr,config
raw/phase1/trainer/seed,config
raw/phase1/trainer/weight_decay,config
raw/seed,config
raw/use_binned_tokens,config
recovery/broken_wandb_id,config
recovery/config_only,config
recovery/facts_run_folder,config
recovery/name_suffix,config
source/location,config
source/run_dir,config
tokenizer/id_embed_dim,config
tokenizer/pid_mode,config
tokenizer/type,config
training/batch_size,config
training/epochs,config
training/grad_clip,config
training/label_smoothing,config
training/lr,config
training/lr_schedule,config
training/seed,config
training/warmup_steps,config
training/weight_decay,config
