run_id,run_name,experiment_name,keys_written,keys_left_empty_by_prereq,keys_empty_missing_config,keys_skipped_already_set,unresolved_flags,error
w8hw3rfg,run_20260320-141518_phd_exp1_4t_vs_bg_sizes_and_pe_job000_recovered,exp_20260320-141518_phd_exp1_4t_vs_bg_sizes_and_pe,0,51,1,95,row_total_mismatch:147_vs_95_diff:52,
9r66z9fa,run_20260320-123722_builtjes_baseline_test_job000_recovered,exp_20260320-123722_builtjes_baseline_test,0,56,0,95,row_total_mismatch:151_vs_95_diff:56,
vb3o8bh1,run_20251126-150519_compare_positional_encodings_job009_recovered,exp_20251126-150519_compare_positional_encodings,0,56,1,95,row_total_mismatch:152_vs_95_diff:57,
slv29ky7,run_20260320-163524_OrthogonalSweep_A_g04_attention_type_job003_recovered,exp_20260320-163524_OrthogonalSweep_A_g04_attention_type,0,50,1,95,row_total_mismatch:146_vs_95_diff:51,
