broken_wandb_id,facts_folder,new_wandb_id
1iuxis2l,run_20260320-141518_phd_exp1_4t_vs_bg_sizes_and_pe_job000,w8hw3rfg
7ipzizh6,run_20260320-123722_builtjes_baseline_test_job000,9r66z9fa
wqo0y6mw,run_20251126-150519_compare_positional_encodings_job009,vb3o8bh1
17ovy6fy,run_20260320-163524_OrthogonalSweep_A_g04_attention_type_job003,slv29ky7
